,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12
Channel 1,0.530365,0.542972,0.503119,0.654589,,0.595616,0.100106,,0.10024,0.100201,0.100123,
Channel 2,0.10211,0.102093,0.101221,0.101237,,0.102059,0.278778,,0.504279,0.438554,0.305957,
Channel 3,0.100824,0.100576,0.100322,0.100377,,0.100788,0.154274,,0.222676,0.202497,0.162198,
Channel 4,0.100089,0.100112,0.100075,0.100123,,0.100125,0.103833,,0.108648,0.107162,0.104304,
Channel 5,0.100499,0.100338,0.100176,0.100225,,0.100496,0.144079,,0.1996,0.183082,0.150327,
Channel 6,0.100852,0.100509,0.100277,0.10036,,0.100862,0.195564,,0.315627,0.278593,0.20734,
Channel 7,0.102519,0.101559,0.10098,0.10119,,0.102856,0.49839,,1,0.850016,0.553821,
Channel 8,0.101576,0.10067,0.100345,0.100972,,0.101753,0.443763,,0.871481,0.721788,0.462736,
Channel 9,0.10054,0.100219,0.100115,0.100346,,0.100581,0.204627,,0.334557,0.287972,0.209014,
Channel 10,0.100075,0.100027,0.100016,0.10005,,0.10008,0.118855,,0.142135,0.133191,0.118929,
Channel 11,0.100005,0.100005,0.100003,0.100005,,0.100007,0.100765,,0.101713,0.101357,0.100778,
Channel 12,0.100005,0.100002,0.100002,0.100003,,0.100004,0.100628,,0.101403,0.101099,0.100623,
Channel 13,0.100014,0.100007,0.100005,0.100007,,0.100017,0.109371,,0.120725,0.115402,0.108459,
Channel 14,0.100181,0.10007,0.100039,0.100123,,0.1002,0.143658,,0.179262,0.150876,0.126308,
Channel 15,0.100209,0.100088,0.100049,0.100139,,0.100251,0.530826,,0.823938,1,0.750331,
Channel 16,0.100055,0.100028,0.100019,0.100036,,0.100082,0.361762,,0.554683,0.625511,0.479152,
Channel 17,0.100043,0.10002,0.100015,0.100027,,0.10006,0.174299,,0.193601,0.234957,0.20154,
Channel 18,0.100004,0.100002,0.100002,0.100003,,0.100007,0.103325,,0.103204,0.10244,0.101215,
Channel 19,0.100004,0.100002,0.100001,0.100002,,0.100004,0.100474,,0.100968,0.100666,0.100355,
Channel 20,0.100001,0.1,0.1,0.1,,0.100001,0.120984,,0.119955,0.112112,0.126596,
Channel 21,0.100025,0.100007,0.100006,0.100017,,0.100017,0.719924,,0.691025,0.469933,0.911256,
Channel 22,0.100027,0.100008,0.100006,0.100019,,0.100018,0.609878,,0.597424,0.439481,0.847881,
Channel 23,0.100032,0.100009,0.100007,0.100023,,0.100024,0.634111,,0.62338,0.473832,0.911912,
Channel 24,0.100039,0.100012,0.100008,0.100029,,0.100032,0.782218,,0.422784,0.427773,0.438604,
Channel 25,0.100018,0.100005,0.100004,0.100013,,0.100014,1,,0.881517,0.479945,1,
Channel 26,0.100006,0.100002,0.100001,0.100004,,0.100004,0.38151,,0.341873,0.226411,0.374911,
Channel 27,0.1,0.1,0.1,0.1,,0.1,0.100687,,0.100592,0.100335,0.100773,
Channel 28,0.1,0.1,0.1,0.1,,0.1,0.1,,0.1,0.1,0.100001,
Channel 29,0.1,0.1,0.1,0.1,,0.1,0.100004,,0.100002,0.100002,0.100005,
Channel 30,0.1,0.1,0.1,0.1,,0.1,0.100021,,0.100017,0.10001,0.100025,
Channel 31,0.100002,0.100001,0.100001,0.100001,,0.100002,0.100053,,0.100118,0.100089,0.100048,
Channel 32,0.100003,0.100001,0.100001,0.100002,,0.100002,0.1001,,0.100223,0.100168,0.100093,
Channel 33,0.485689,0.538802,0.491627,0.446905,,0.494618,0.100001,,0.100002,0.100002,0.100001,
